city_id,name,description,address,category,score,price,open_time,latitude,longitude,image_url
1,隋唐城遗址植物园,洛龙区,王城大道281号,风景名胜,,,,34.635398,112.448335,
1,洛阳博物馆,洛龙区,聂泰路6号,科教文化服务,,,,34.643323,112.451541,
1,体育公园,洛龙区,开元大道(体育中心地铁站A1口步行260米),风景名胜,,,,34.620466,112.435579,
1,关林景区,洛龙区,关林镇关林南街2号,风景名胜,,,,34.607419,112.483366,
1,神都十三坊,洛龙区,古城路辅路与龙门大道辅路交叉口东南220米,风景名胜,,,,34.629233,112.474474,
1,定鼎门南广场,洛龙区,龙门大道436号,风景名胜,,,,34.629784,112.466927,
1,隋唐洛阳城国家遗址公园,西工区,定鼎路与中州路交汇处(应天门地铁站C2口步行220米),风景名胜,,,,34.679369,112.460318,
1,从政坊游园,洛龙区,永通门里坊展示路,风景名胜,,,,34.634196,112.457846,
1,龙门石窟,洛龙区,龙门中街13号,风景名胜,,,,34.558782,112.477463,
1,洛阳大河荟,洛龙区,金城寨街与通衢路交叉口东南200米,风景名胜,,,,34.593370,112.450074,
1,洛邑古城,老城区,九都东路与柳林街交叉口北侧,风景名胜,,,,34.680541,112.485027,
1,洛浦公园,洛龙区,豫博路1号,风景名胜,,,,34.632690,112.423453,
1,应天门,老城区,定鼎南路23号,风景名胜,,,,34.676011,112.460886,
1,文博体育公园,洛龙区,滨河南路(文博园地铁站A口步行310米),风景名胜,,,,34.644295,112.443892,
1,开元湖健康主题公园,洛龙区,开元大道与长兴街交叉口西南100米,风景名胜,,,,34.617594,112.457309,
1,关林庙,洛龙区,关林东路与新九街交叉口西北200米,风景名胜,,,,34.607602,112.483496,
1,梦神都,洛龙区,古城路辅路与龙门大道辅路交叉口东南220米,风景名胜,,,,34.630172,112.474738,
1,王城公园,西工区,中州中路312号,风景名胜,,,,34.666822,112.421575,
1,洛阳城市阳台,西工区,御博路与滨河北路交叉口东北260米,风景名胜,,,,34.661150,112.450160,
1,洛阳龙门海洋馆,洛龙区,龙门大道782号,风景名胜,,,,34.591869,112.474132,
1,兴洛湖公园,洛龙区,兴洛西街与关林路交叉口东南200米,风景名胜,,,,34.603179,112.455214,
1,隋唐洛阳城应天门遗址博物馆,老城区,定鼎南路23号,科教文化服务,,,,34.675990,112.460805,
1,丽景门景区,老城区,西门口街与金业路交叉口东,风景名胜,,,,34.680899,112.471252,
1,隋唐洛阳城九洲池遗址,西工区,唐宫中路与宫隅路交叉口西150米,风景名胜,,,,34.681749,112.453774,
1,明堂天堂景区,老城区,唐宫路毛线市场对面(应天门地铁站C2口步行200米),风景名胜,,,,34.680653,112.459829,
2,沙澧河风景区,郾城区,沙北路附近,风景名胜,,,,33.579558,114.021809,
2,神州鸟园,源汇区,泰山路南段,风景名胜,,,,33.547351,114.019897,
2,沙澧河风景区-红枫广场,郾城区,沙澧河风景区红枫广场(黄山路南),风景名胜,,,,33.578860,114.020851,
2,漯河市人民公园,源汇区,马路街街道交通路502号,风景名胜,,,,33.564923,114.039775,
2,漯河彩虹桥,源汇区,泰山北路与滨河路交叉口北60米,风景名胜,,,,33.577498,114.024924,
2,漯河海洋馆,源汇区,嵩山路与连江路交叉口鲁明嵩山学府东南110米,风景名胜,,,,33.544785,114.016427,
2,漯湾古镇,源汇区,柳江西路与五台山南路交汇处附近,风景名胜,,,,33.553195,113.954631,
2,许慎文化园,召陵区,龙江路与中山路交叉口东800米路北,风景名胜,,,,33.610394,114.099771,
2,漯河市博物馆,源汇区,月湾湖东路与九龙山路交叉口,科教文化服务,,,,33.566382,113.974360,
2,双汇广场,源汇区,文化路与建设路交叉口,风景名胜,,,,33.566183,114.035138,
2,江南园,郾城区,郾襄路95号沙河北岸高铁桥东200米,风景名胜,,,,33.596488,113.965883,
2,河上街运动神兽,源汇区,泰山南路银江路交叉口往南100米路西,风景名胜,,,,33.544447,114.022194,
2,神州鸟园-河上街古镇,源汇区,泰山路南段(神州鸟园附近),风景名胜,,,,33.548579,114.022463,
2,沙澧公园,源汇区,干河陈街道嵩山路708号,风景名胜,,,,33.563701,114.004287,
2,烟厂花园,召陵区,解放路402号,风景名胜,,,,33.564544,114.049918,
2,东方明珠,召陵区,桐柏山路与滦河路交叉口西北角,商务住宅,,,,33.590063,114.084200,
2,远香塘,郾城区,沙北路沙澧河风景区内(西侧),风景名胜,,,,33.581355,113.993337,
2,镇河铁牛,郾城区,黄河西路1297号,风景名胜,,,,33.584290,113.986043,
2,漯河市烈士陵园,郾城区,龙塔街道黄河路1022号,生活服务,,,,33.582496,114.001510,
2,金沙滩公园,郾城区,黄河路,风景名胜,,,,33.582641,114.032792,
2,沙澧河风景区-休息亭,郾城区,沙北路与天山路交叉口西南20米,生活服务,,,,33.578933,114.017655,
2,梨园春公园,郾城区,黄河路沙澧河风景区梨园春公园,风景名胜,,,,33.581129,114.027784,
2,小南湖湿地公园,源汇区,宝塔山路与嘉陵江路交叉口西270米路北,风景名胜,,,,33.564157,113.975448,
2,漯河市动物园,源汇区,漯河市人民公园内(东北角),风景名胜,,,,33.565528,114.040444,
2,城隍庙,郾城区,黄河路1303号,风景名胜,,,,33.585470,113.986081,
3,白河国家城市湿地公园,宛城区,滨河东路与建设东路交叉口东,风景名胜,,,,33.002049,112.586578,
3,南阳府衙,宛城区,民主街100号,风景名胜,,,,32.993625,112.537179,
3,南阳市博物馆,宛城区,白河街道鼎盛大道369号,科教文化服务,,,,32.992975,112.602032,
3,医圣祠,宛城区,医圣祠街88号,风景名胜,,,,32.999441,112.554242,
3,申伯公园,宛城区,申伯大道与汉冶东路交叉口西北260米,风景名胜,,,,33.013881,112.573376,
3,南阳世界月季大观园,宛城区,白桐干渠与月季大道交叉口,风景名胜,,,,32.996049,112.637207,
3,南阳月季公园,宛城区,孔明北路1263号,风景名胜,,,,33.029600,112.602361,
3,南阳独山森林公园,卧龙区,七里园乡靖宇路北部,风景名胜,,,,33.059521,112.582973,
3,南阳世界月季大观园西园,宛城区,南阳世界月季大观园,风景名胜,,,,33.000341,112.624201,
3,南阳市海洋乐园,宛城区,李宁体育馆西门左侧,风景名胜,,,,33.034047,112.612425,
3,南阳卧龙岗景区,卧龙区,卧龙路766号,风景名胜,,,,32.975546,112.506184,
3,南阳市如意湖公园,宛城区,光武东路与孔明南路交叉口西北150米,风景名胜,,,,33.008985,112.585353,
3,中国月季园,卧龙区,孔明(诸葛亮)北路独山月季园,风景名胜,,,,33.064410,112.607811,
3,花境公园,宛城区,光武大道与宝天曼路交叉口白河国家城市湿地公园(三馆一院西),风景名胜,,,,32.999613,112.599367,
3,泮池公园,宛城区,长江北路,风景名胜,,,,32.994548,112.615058,
3,南阳市解放广场,宛城区,仲景南路,风景名胜,,,,32.990065,112.552376,
3,龙泉园,宛城区,校场路与明山路交叉口西280米,风景名胜,,,,32.990032,112.555366,
3,医圣文化园,宛城区,建设东路99号,风景名胜,,,,33.002373,112.554839,
3,张仲景博物院(医圣祠),宛城区,医圣祠街7号,科教文化服务,,,,33.001192,112.554867,
3,南阳卧龙岗武侯祠,卧龙区,卧龙路766号,风景名胜,,,,32.979396,112.507196,
3,张衡游园,卧龙区,张衡东路1270号,风景名胜,,,,33.018385,112.587857,
3,东方水上元宇宙,宛城区,仲景街道滨河大道和关帝庙路交叉口往东220米,风景名胜,,,,32.988943,112.576648,
3,明月轩广场,宛城区,白河湿地公园景区广场,风景名胜,,,,32.988272,112.553201,
